,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form,league
59,64,Liverpool,2,79,33,24,2,7,85,22,63,Good,PL
60,61,Chelsea,3,66,33,19,5,9,68,28,40,Good,PL
61,57,Arsenal,4,60,33,19,11,3,52,40,12,Good,PL
62,73,Tottenham Hotspur,5,58,33,18,11,4,56,38,18,Good,PL
63,66,Manchester United,6,55,35,15,10,10,54,52,2,Good,PL
64,563,West Ham United,7,52,34,15,12,7,52,44,8,Good,PL
65,76,Wolverhampton Wanderers,8,49,33,15,14,4,33,29,4,Good,PL
66,67,Newcastle United,9,43,34,11,13,10,40,55,-15,Bad,PL
67,338,Leicester City,10,42,32,11,12,9,47,51,-4,Bad,PL
68,397,Brighton & Hove Albion,11,41,34,9,11,14,31,42,-11,Bad,PL
69,402,Brentford,12,40,34,11,16,7,41,49,-8,Bad,PL
70,340,Southampton,13,40,34,9,12,13,40,56,-16,Bad,PL
71,354,Crystal Palace,14,38,33,8,11,14,43,41,2,Bad,PL
72,58,Aston Villa,15,37,32,11,17,4,42,46,-4,Bad,PL
73,341,Leeds United,16,34,33,8,15,10,38,68,-30,Bad,PL
74,328,Burnley,17,31,33,6,14,13,29,45,-16,Bad,PL
75,62,Everton,18,29,32,8,19,5,34,55,-21,Bad,PL
76,346,Watford,19,22,33,6,23,4,31,67,-36,Bad,PL
77,68,Norwich City,20,21,33,5,22,6,22,69,-47,Bad,PL
78,98,AC Milan,1,74,34,22,4,8,60,30,30,Good,SA
79,108,Inter,2,72,34,21,4,9,72,28,44,Good,SA
80,113,Napoli,3,67,34,20,7,7,61,30,31,Good,SA
81,109,Juventus,4,66,34,19,6,9,52,30,22,Good,SA
82,100,Roma,5,58,34,17,10,7,55,40,15,Good,SA
83,110,Lazio,6,56,34,16,10,8,66,50,16,Good,SA
84,99,Fiorentina,7,56,34,17,12,5,54,46,8,Good,SA
85,102,Atalanta,8,55,34,15,9,10,61,43,18,Good,SA
86,450,Hellas Verona,9,49,34,13,11,10,59,51,8,Good,SA
87,471,U.S. Sassuolo Calcio,10,46,34,12,12,10,59,55,4,Good,SA
88,586,Torino F.C.,11,44,34,11,12,11,42,36,6,Bad,SA
89,115,Udinese Calcio,12,43,34,10,11,13,53,52,1,Bad,SA
90,103,Bologna,13,42,34,11,14,9,39,48,-9,Bad,SA
91,445,Empoli,14,37,34,9,15,10,45,62,-17,Bad,SA
92,488,Spezia,15,33,34,9,19,6,34,59,-25,Bad,SA
93,584,U.C. Sampdoria,16,30,34,8,20,6,41,57,-16,Bad,SA
94,104,Cagliari,17,28,34,6,18,10,31,62,-31,Bad,SA
95,455,US Salernitana 1919,18,25,33,6,20,7,28,70,-42,Bad,SA
96,107,Genoa,19,25,34,3,15,16,25,54,-29,Bad,SA
97,454,Venezia FC,20,22,33,5,21,7,27,61,-34,Bad,SA
