,Country or Area,ISO-alpha3 Code,M49 Code,Region 1,Region 2,Continent
163,North Macedonia,MKD,807,Southern Europe,None,Europe
164,Northern Mariana Islands,MNP,580,Micronesia,None,Oceania
165,Norway,NOR,578,Northern Europe,None,Europe
166,Oman,OMN,512,Western Asia,None,Asia
167,Pakistan,PAK,586,Southern Asia,None,Asia
168,Palau,PLW,585,Micronesia,None,Oceania
169,Panama,PAN,591,Central America,Latin America and the Caribbean,North America
170,Papua New Guinea,PNG,598,Melanesia,None,Oceania
171,Paraguay,PRY,600,South America,Latin America and the Caribbean,South America
172,Peru,PER,604,South America,Latin America and the Caribbean,South America
173,Philippines,PHL,608,South-eastern Asia,None,Asia
174,Pitcairn,PCN,612,Polynesia,None,Oceania
175,Poland,POL,616,Eastern Europe,None,Europe
176,Portugal,PRT,620,Southern Europe,None,Europe
177,Puerto Rico,PRI,630,Caribbean,Latin America and the Caribbean,North America
178,Qatar,QAT,634,Western Asia,None,Asia
179,Korea Republic,KOR,410,Eastern Asia,None,Asia
180,Republic of Moldova,MDA,498,Eastern Europe,None,Europe
181,Réunion,REU,638,Eastern Africa,Sub-Saharan Africa,Africa
182,Romania,ROU,642,Eastern Europe,None,Europe
183,Russia,RUS,643,Eastern Europe,None,Europe
184,Rwanda,RWA,646,Eastern Africa,Sub-Saharan Africa,Africa
185,Saint Barthélemy,BLM,652,Caribbean,Latin America and the Caribbean,North America
186,Saint Helena,SHN,654,Western Africa,Sub-Saharan Africa,Africa
187,Saint Kitts and Nevis,KNA,659,Caribbean,Latin America and the Caribbean,North America
188,Saint Lucia,LCA,662,Caribbean,Latin America and the Caribbean,North America
189,Saint Martin (French Part),MAF,663,Caribbean,Latin America and the Caribbean,North America
190,Saint Pierre and Miquelon,SPM,666,Northern America,None,North America
191,Saint Vincent and the Grenadines,VCT,670,Caribbean,Latin America and the Caribbean,North America
192,Samoa,WSM,882,Polynesia,None,Oceania
193,San Marino,SMR,674,Southern Europe,None,Europe
194,Sao Tome and Principe,STP,678,Middle Africa,Sub-Saharan Africa,Africa
195,Sark, ,680,Northern Europe,Channel Islands,Europe
196,Saudi Arabia,SAU,682,Western Asia,None,Asia
197,Senegal,SEN,686,Western Africa,Sub-Saharan Africa,Africa
198,Serbia,SRB,688,Southern Europe,None,Europe
199,Seychelles,SYC,690,Eastern Africa,Sub-Saharan Africa,Africa
200,Sierra Leone,SLE,694,Western Africa,Sub-Saharan Africa,Africa
201,Singapore,SGP,702,South-eastern Asia,None,Asia
202,Sint Maarten (Dutch part),SXM,534,Caribbean,Latin America and the Caribbean,North America
203,Slovakia,SVK,703,Eastern Europe,None,Europe
204,Slovenia,SVN,705,Southern Europe,None,Europe
205,Solomon Islands,SLB,090,Melanesia,None,Oceania
206,Somalia,SOM,706,Eastern Africa,Sub-Saharan Africa,Africa
207,South Africa,ZAF,710,Southern Africa,Sub-Saharan Africa,Africa
208,South Georgia and the South Sandwich Islands,SGS,239,South America,Latin America and the Caribbean,South America
209,South Sudan,SSD,728,Eastern Africa,Sub-Saharan Africa,Africa
